lr;epoch;iteration;global_iteration
2.6881720430107527e-05;0;100;100
4.9581839904420555e-05;1;14;200
4.659498207885305e-05;1;114;300
4.360812425328555e-05;2;28;400
4.062126642771804e-05;2;128;500
3.763440860215054e-05;3;42;600
3.4647550776583035e-05;3;142;700
3.1660692951015537e-05;4;56;800
2.8673835125448028e-05;4;156;900
2.5686977299880526e-05;5;70;1000
2.270011947431302e-05;5;170;1100
1.9713261648745522e-05;6;84;1200
1.6726403823178017e-05;6;184;1300
1.3739545997610515e-05;7;98;1400
1.0752688172043012e-05;8;12;1500
7.765830346475508e-06;8;112;1600
4.7789725209080055e-06;9;26;1700
1.7921146953405017e-06;9;126;1800
