loss_avg;epoch;iteration;global_iteration
0.028991486877202988;0;100;100
0.029866047203540802;1;14;200
0.02616555243730545;1;114;300
0.002654366660863161;2;28;400
0.012205671519041061;2;128;500
0.015917208045721054;3;42;600
0.009335312992334366;3;142;700
0.011153050698339939;4;56;800
0.03028067946434021;4;156;900
0.004424235783517361;5;70;1000
0.0028184715192764997;5;170;1100
0.007043527439236641;6;84;1200
0.0028079310432076454;6;184;1300
0.006866176147013903;7;98;1400
0.0040524364449083805;8;12;1500
0.01016608439385891;8;112;1600
0.0036677231546491385;9;26;1700
0.0060778772458434105;9;126;1800
0.0034505215007811785;10;40;1900
0.011952179484069347;10;140;2000
0.0037132813595235348;11;54;2100
0.0028351042419672012;11;154;2200
0.010311896912753582;12;68;2300
0.009728536009788513;12;168;2400
0.003348266938701272;13;82;2500
0.006840355694293976;13;182;2600
0.007587555330246687;14;96;2700
0.0058359852991998196;15;10;2800
0.00988870020955801;15;110;2900
0.005102426279336214;16;24;3000
0.012665018439292908;16;124;3100
0.005590868182480335;17;38;3200
0.011711995117366314;17;138;3300
0.010404943488538265;18;52;3400
0.0031696290243417025;18;152;3500
0.0038521315436810255;19;66;3600
0.005183039233088493;19;166;3700
