lr;epoch;iteration;global_iteration
1.0752688172043012e-05;0;100;100
2.1505376344086024e-05;1;14;200
3.2258064516129034e-05;1;114;300
4.301075268817205e-05;2;28;400
4.9581839904420555e-05;2;128;500
4.8387096774193554e-05;3;42;600
4.7192353643966546e-05;3;142;700
4.5997610513739546e-05;4;56;800
4.4802867383512545e-05;4;156;900
4.360812425328555e-05;5;70;1000
4.241338112305854e-05;5;170;1100
4.121863799283154e-05;6;84;1200
4.002389486260454e-05;6;184;1300
3.882915173237754e-05;7;98;1400
3.763440860215054e-05;8;12;1500
3.643966547192354e-05;8;112;1600
3.524492234169653e-05;9;26;1700
3.405017921146954e-05;9;126;1800
3.285543608124254e-05;10;40;1900
3.1660692951015537e-05;10;140;2000
3.046594982078853e-05;11;54;2100
2.9271206690561532e-05;11;154;2200
2.807646356033453e-05;12;68;2300
2.6881720430107527e-05;12;168;2400
2.5686977299880526e-05;13;82;2500
2.4492234169653525e-05;13;182;2600
2.3297491039426525e-05;14;96;2700
2.2102747909199524e-05;15;10;2800
2.0908004778972523e-05;15;110;2900
1.9713261648745522e-05;16;24;3000
1.8518518518518518e-05;16;124;3100
1.7323775388291518e-05;17;38;3200
1.6129032258064517e-05;17;138;3300
1.4934289127837516e-05;18;52;3400
1.3739545997610515e-05;18;152;3500
1.2544802867383513e-05;19;66;3600
1.135005973715651e-05;19;166;3700
1.015531660692951e-05;20;80;3800
8.960573476702509e-06;20;180;3900
7.765830346475508e-06;21;94;4000
6.5710872162485075e-06;22;8;4100
5.376344086021506e-06;22;108;4200
4.181600955794504e-06;23;22;4300
2.986857825567503e-06;23;122;4400
1.7921146953405017e-06;24;36;4500
5.973715651135007e-07;24;136;4600
