loss_avg;epoch;iteration;global_iteration
0.021002767607569695;0;100;100
0.011993586085736752;1;14;200
0.01621619239449501;1;114;300
0.0021055343095213175;2;28;400
0.00854727253317833;2;128;500
0.00032615638338029385;3;42;600
0.0011752768186852336;3;142;700
0.0016422785120084882;4;56;800
0.0022208576556295156;4;156;900
0.00036850274773314595;5;70;1000
0.015744348987936974;5;170;1100
5.302879071678035e-05;6;84;1200
4.67914724140428e-05;6;184;1300
0.00019600786617957056;7;98;1400
0.011293848045170307;8;12;1500
0.0001207687528221868;8;112;1600
0.00397322466596961;9;26;1700
0.0017296019941568375;9;126;1800
6.995289732003585e-05;10;40;1900
7.243425352498889e-05;10;140;2000
1.5235003047564533e-05;11;54;2100
0.005011382978409529;11;154;2200
5.5973079724935815e-05;12;68;2300
0.00019453246204648167;12;168;2400
5.2999101171735674e-05;13;82;2500
2.5601262677810155e-05;13;182;2600
0.011068180203437805;14;96;2700
1.1157095286762342e-05;15;10;2800
8.12966754892841e-05;15;110;2900
1.3262151696835645e-05;16;24;3000
2.8543008738779463e-05;16;124;3100
3.4292879718123004e-05;17;38;3200
0.00275163515470922;17;138;3300
0.0030946407932788134;18;52;3400
0.011192911304533482;18;152;3500
0.0018936546985059977;19;66;3600
0.005183768458664417;19;166;3700
5.2429775678319857e-05;20;80;3800
2.0497958757914603e-05;20;180;3900
2.6122903364012018e-05;21;94;4000
9.254200449504424e-06;22;8;4100
7.99399185780203e-06;22;108;4200
5.035486174165271e-05;23;22;4300
1.0160469173570164e-05;23;122;4400
1.231689839187311e-05;24;36;4500
0.006082620471715927;24;136;4600
