,id,date,views,to_id,fwd_from,message,type,duration
0,24109,2022-11-20 11:25:53+00:00,125296,PeerChannel(channel_id=1497011710),,Админ «Жизни насекомых» сегодня перепутал свои каналы.,text,
1,24108,2022-11-20 09:25:46+00:00,243944,PeerChannel(channel_id=1497011710),,"Уже посмотрели наш пятничный выпуск про мобилизацию? Один из спикеров — Екатерина Шульман*

Смотреть видео полностью — тут.

(признана иноагентом)",text,
2,24107,2022-11-20 07:54:17+00:00,317947,PeerChannel(channel_id=1497011710),,"«Голос народа – голос бога»

Илон Маск разблокировал твиттер экс-президента США после опроса в своем аккаунте. В голосовании поучаствовали больше 15 млн юзеров. Полыхать сегодня будет ярко.",photo,
3,24106,2022-11-19 18:42:24+00:00,443800,PeerChannel(channel_id=1497011710),,"Здравые, взвешенные слова от представителя церкви. Закон о пропаганде ЛГБТ не поддерживаю, но со многим согласна и уж точно приятно видеть духовенство с такой спокойной и честной риторикой.",text,
4,24104,2022-11-19 18:31:12+00:00,452569,PeerChannel(channel_id=1497011710),,"В РПЦ выступили против уголовного преследования за принадлежность к ЛГБТ.

По мнению митрополита Псковского и Порховского Тихона (Шевкунова) уголовных преследований за принадлежность к ЛГБТ быть не должно, однако это не означает отмену наказания за пропаганду нетрадиционных отношений:

“Есть вещи, которые нельзя делать привлекательными. Хотели бы люди, которые так говорят, чтобы их дети, сходив на ЛГБТ-фильм, вдруг страшно заинтересовались этим? Это же новые впечатления, это же так элитарно! А может, я это чувствую в себе? Потом к нам приходят родители, и воют. Уголовного наказания быть не должно, но пропаганды ни прямой, ни косвенной быть не может”.

Также иерарх отметил, что “горе нам”, если приходится принимать закон, регламентирующий традиционные ценности:

“Мы пробудили (в т.ч. с помощью телевидения) в сердцах наших современников столько недобрых и разрушительных чувств, что приходиться принимать такой закон”.",video,78
5,24103,2022-11-19 16:20:01+00:00,461636,PeerChannel(channel_id=1497011710),,Сплошной позитив.,photo,
6,24101,2022-11-19 15:10:26+00:00,472838,PeerChannel(channel_id=1497011710),,"В российские школы могут быть возвращены традиционные уроки труда.

По крайней мере, так считает депутат Госдумы Сергей Колунов. По его словам, благодаря таким занятиям, как слесарное и столярное дело, кулинария, кройка и шитьё ученикам прививают не только необходимые навыки и умения, но и любовь к труду. Также парламентарий сообщил, что изменения будут предложены министру просвещения Кравцову:

“Многие поймут радость от ручного труда. Это нормально, когда ребёнок участвует в уборке класса, школьного двора, помогает дома — выполняет мелкие, но важные для его воспитания поручения. Например, мальчишкам будет полезно научиться мелкому ремонту. Речь идёт о навыках, которые всегда пригодятся во взрослой жизни”.

Ну, а вы что думаете, нужны ли в школе уроки труда, и учатся ли там чему-то дети?",text,
7,24100,2022-11-19 14:20:23+00:00,459746,PeerChannel(channel_id=1497011710),,"После нашего вмешательства в Челябинске всё-таки отправили на военно-врачебную комиссию Азата Вагапова. Там постановили, что мужчина временно не годен. Родственники сообщили, что в течение недели он вернётся домой.

Ура!",text,
8,24099,2022-11-19 13:41:34+00:00,462601,PeerChannel(channel_id=1497011710),,"Новый премьер-министр Великобритании Риши Сунак прибыл в Киев, где провёл встречу с Владимиром Зеленским.

Upd: По итогам встречи стало известно, что Лондон направит в Украину 125 зенитных орудий для борьбы с беспилотниками.",video,75
9,24098,2022-11-19 13:11:20+00:00,465079,PeerChannel(channel_id=1497011710),,"По информации главы Ленобласти Александра Дрозденко, возгорание произошло на газопроводе между Бернгардовкой и Ковалёво:

“Угрозы для населения и распространения огня на жилые массивы нет. Причины взрыва устанавливаются”.",video,66
