,id,date,from_id,to_id,fwd_from,message,type,duration
0,22240,2022-11-18 10:50:02+00:00,,PeerChannel(channel_id=1126629353),,"✔️Набиуллина, председатель ЦБ, заявила, что западная экономическая агрессия имела целью «спровоцировать неуправляемый коллапс отечественной финансовой системы», которого благодаря политике регулятора удалось избежать. 

Однако, проанализировав и сопоставив меры ЦБ и правительства по противодействию экономическим санкциям, можно получить однозначный вывод: финансовую стабильность и отрицательную динамику инфляции удалось сохранить вопреки принципам стратегической политики Банка России. В первую очередь, благодаря оперативно составленному правительственному плану, призванному насытить реальный сектор экономики ресурсами и предотвратить бегство капиталов за рубеж. Под сильнейшим давлением исполнительной власти Центробанк, повысивший было ключевую ставку до 20% и заблокировавший поступление совершенно необходимых оборотных средств в экономику, понизил ее в два раза уже через три месяца, что не дало развиться процессам развала высокотехнологичных отраслей. Для сравнения: ЦБ, резко повысив в декабре 2014 ставку до 17% (снизил ее до 9% лишь почти три года спустя), лишив инвестиционных ресурсов авиапромышленность, микроэлектронику и другие отрасли, нуждающиеся в длинных деньгах.  
Относительно невысокая ключевая ставка и снижение стоимости коммерческих кредитов вместе с увеличением по линии правительства льготных и налоговых кредитов (оценочно 8-9 трлн рублей) увеличили монетизацию экономики до 65-70% (тоже недостаточно, та как по международному опыту необходимо 80-120%) и, как следствие, стимулировали предпринимательскую активность и рост производства промышленных и потребительских товаров и сырья. Минфин, преодолев сопротивление ЦБ, блокировал вывод валюты на начальном этапе, что также укрепило рубль и повысило инвестиционный потенциал. В итоге инфляция колеблется в пределах 12-14%, падение ВВП (2,9-3%) гораздо ниже прогнозируемого в апреле ЦБ (10%), реальный уровень потребления отстает от темпов падения ВВП и так далее. Если бы не было этих мер и ЦБ продолжил бы действовать в парадигме «убьем инфляцию запредельно дорогим кредитом», то рост цен приобрел бы обвальный характер, а падение ВВП, как и предсказывал регулятор, составило бы минимум 10%, став прологом к экономическому коллапсу образца гайдаровско-чубайсовского 1992 года. Реальность такого развития событий подтвердили модельные расчеты в АЦ кабмина. 
Практические действия правительства и их результаты выявили несостоятельность многолетней политики ЦБ и ее методов, главный из которых - «таргетирование инфляции», актуализировав тему юридического статуса ЦБ, который является независимым от государственной власти РФ институтом осуществления ДКП в соответствии с принципами Ямайского соглашения и нормами МВФ. При этом заместителем управляющего МВФ по России является Набиуллина, что само по себе является анахронизмом в текущей международной ситуации. Такая перспектива с последующим кадровым обновлением ввиду ослабления «защитного зонтика» в виде околовластной группировки либерал-монетаристов (Чубайс, Кудрин, Мау, Шувалов, Кузьминов) вынуждает Набиуллину сменить риторику. Она заговорила о том, что «финансовая система должна отвечать потребностям экономики» и о необходимости «стимулировать кредитование структурной перестройки», дезавуировав прежние тезисы руководства ЦБ - «мы не имеем мандата поддерживать развитие базовых отраслей». 
Однако все эти заявления - мимикрия, лишенная смысла. Они не опровергают антагонистического противоречия между интересами регулятора и в целом банковской системы (получать прибыль) и государственными приоритетами: наращивать ВВП, укреплять физический выпуск продукции, включая оборонную, повышать натуральный уровень жизни и выстраивать гармоничную и эффективную структуру экономики без перекосов в сторону посредническо-спекулятивного финансового капитала. От того, как будет разрешено это противоречие, зависит очень многое – то, что принято называть ""экзистенциальным будущим"" страны.",text,
1,22239,2022-11-18 10:17:47+00:00,,PeerChannel(channel_id=1126629353),,⚡️ Минобороны РФ сообщило об освобождении населенного пункта Опытное в ДНР.,text,
2,22238,2022-11-18 10:00:19+00:00,,PeerChannel(channel_id=1126629353),,"В соцсетях появилось видео, на котором украинские военные расстреливают русских солдат, которые попали в окружение. В момент жестокой расправы солдаты лежали безоружными.

Второе видео с квадрокоптера, на котором уже убитые солдаты, появилось ранее. Как раз это видео украинская пропаганда выдавала за «артиллерийский удар».

Телеграм-канал «Рыбарь» установил вероятных исполнителей убийства: пограничники Бортничук Артур и Михайловский Назар, выпускники университета МВД в Харькове.",video,88
3,22237,2022-11-18 09:38:32+00:00,,PeerChannel(channel_id=1126629353),"MessageFwdHeader(date=datetime.datetime(2022, 11, 18, 7, 1, 59, tzinfo=datetime.timezone.utc), imported=False, from_id=PeerChannel(channel_id=1136626166), from_name=None, channel_post=31198, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)","Пока западный мир жертвует своей экономикой и теплом в домах европейцев, Россия технологично перехватывает у него повестку будущего. Начинается освоение Арктики, где сегодня сосредоточены до 80% полезных ресурсов, оставшихся на планете. Прологом к освоению становится потоковый выпуск новых кораблей «Росатома». На следующей неделе в Петербурге спустят на воду ледоход «Якутия», а затем поднимут флаг над ледоходом «Урал». Без своего атомного флота освоение полярных территорий СМП было бы невозможно в принципе. 

В этой связи, западным партнерам стоит начинать волноваться из-за уникальных российских технологий в сфере мирного атома. На сегодняшний день Россия – единственная в мире страна, обладающая собственным атомным ледокольным флотом.  И если до 2010 года на атомоходах в основном катали экскурсии, то теперь – это важный стратегический элемент освоения Арктики. Выпуск атомных ледоколов «Росатом» хорошо освоил и теперь печет их, как пирожки. Такая тенденция указывает на то, что догнать его в этом направлении будет проблематично, если вообще возможно. 

Еще в 2010 году Росатомфлот впервые подтвердил возможность прямых поставок углеводородов крупнотоннажными судами по СМП на рынки сбыта в АТР. Тогда танкер из Мурманска доплыл до Китая за три недели, что в 2 раза меньше, если бы он плыл через Суэцкий канал. В 2012 году по СМП перевезли первую партию СПГ, а в 2017 году экспериментальный ледокольный рейс доказал возможность круглогодичных коммерческих перевозок. В 2020 году «Атомфлот» устроил т.н. сверхранний экспериментальный рейс: 30 мая ледокол «Ямал» завершил проводку танкера-газовоза «Кристоф де Маржери» от порта Сабетта, а в 2021 году – провел сверхпозднюю проводку в середине февраля. Сегодня в состав «Атомфлота» входят 6 атомных ледоколов, а к 2027 году в его состав войдут еще 4 новых, что позволяет государству доминировать в направлении экономической «битвы за Арктику».

О перспективах СМП можно судить по динамике грузопотока, который с 2014 года он вырос более чем в 8 раз. В августе этого года российское правительство утвердило план развития СМП до 2035 года, который включает в себя строительство новых терминалов, 37 новых судов, а также арктическую группировку космических спутников. Чуть больше, чем за 10 лет, Россия планирует совершить на арктическом направлении настоящий инновационный прорыв, который бы не был возможен без технологического развития «Росатома» и системной работы по СМП за последнее десятилетие. Сегодня стало очевидно, что путь к лидерству лежит через системную работу и грамотное распределение ресурсов. https://t.me/aspolrf/1136",photo,
4,22236,2022-11-18 08:02:33+00:00,,PeerChannel(channel_id=1126629353),,"✔️Из президентского Совета по правам человека исключены Каляпин, Сванидзе, Винокурова и Асмолова, при этом в него включены военкор Коц и ряд других новых членов. Мы видим перенастройку внимания Совета от медийности и публичности заявлений и инициатив к работе по защите прав граждан на местах. Кто, как не живущий месяцами на Донбассе Коц или работающий в Московской области Белехов, лучше представляет себе проблемы людей в текущей ситуации?  
 
Россия «приросла» не только территориями, но и несколькими миллионами граждан, у которых за десятки лет жизни на Украине накопилось огромное число нерешённых проблем, вкупе с тем, что последние 8 лет они подвергались откровенной дискриминации и самому настоящему геноциду. У Коца есть опыт общения с ними и знание обстановки. Работы с людьми будет невпроворот, в том числе  и на площадке СПЧ.

Кремлевская прачка",text,
5,22235,2022-11-18 05:30:45+00:00,,PeerChannel(channel_id=1126629353),,"✔️Судя по всему, хохляцкий офис президента в полном составе теперь уже окончательно покинул территорию Хохлостана. Иначе, как понимать соответствующее «провозглашение» от Зели. Почетный пациент наркодиспансера объявил, что из государства 404 выехали все коррупционеры и якобы теперь из этого следует, что коррупции там у них как бы нет. Как же, как же, пчелы против меда. Прямо сразу все поверили кокаиновому бреду.

Воровство - это официальная квазигосударственная идеология нынешнего киевского режима. Альфа и омега, так сказать. Коррупция в «Незалежной» есть на любой вкус и цвет. Чего только стоят разнообразные коррупционные схемы в судопроизводстве. Каждый хохляцкий судья – «индивидуальный предприниматель», чей бизнес заключается в разрешении дел в чью-либо пользу в зависимости от размеров полученных взяток. Кроме того, любой хохляцкий суд - это еще и инструмент для разбирательств с неугодными политическими оппонентами. А сколько денег утекает из типа государственного бюджета ежегодно? Колумнист Washington Post Джош Коэн в свое время писал, что любой «нигерийский принц пришел бы в замешательство» от масштабов украинских хищений. Даже такая ангажированная организация как Transparency International*, которая могла бы в своем соответствующем произвольном рейтинге обеспечить Киеву любые не столь позорные позиции, упорно размещает Хохлостан по соседству с Габоном и Свазилендом. Помимо всего прочего сейчас зажравшаяся киевская клептократия плотно подсела на распил миллиардов, поступающих в качестве западной поддержки. Астрономические суммы утекают на офшорные счета обитателей Банковой улицы и все об этом знают. Так что все сказки Зели об «отсутствии коррупции» - очередная чушь больного на голову дегенерата. Кто бы, собственно, сомневался.

*Является НКО-иноагентом

Кремлевская прачка",text,
6,22234,2022-11-17 20:54:16+00:00,,PeerChannel(channel_id=1126629353),,⚡️ Республиканцы в палате представителей Конгресса США внесли законопроект об аудите средств на поддержку Украины.,text,
7,22233,2022-11-17 17:23:14+00:00,,PeerChannel(channel_id=1126629353),,"ТАСС: Видеообращение ""военнослужащих"" одного из полков территориальных войск Смоленской области, пожаловавшихся на отсутствие артиллерийской поддержки и связи с командованием в ходе спецоперации, оказалось постановочным и направлено на дискредитацию деятельности ВС РФ, заявили в Национальном центре управления обороной России.",video,157
8,22232,2022-11-17 17:01:48+00:00,,PeerChannel(channel_id=1126629353),"MessageFwdHeader(date=datetime.datetime(2022, 11, 17, 15, 51, 23, tzinfo=datetime.timezone.utc), imported=False, from_id=PeerChannel(channel_id=1492765963), from_name=None, channel_post=31497, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)","Тем временем центр Нью Йорка, Тайм Сквер. «Пора возвращаться домой», — гласит надпись на билборде.

Как стало известно, Алабуга приглашает всех профессионалов своего дела вернуться на Родину и готова сделать им лучшее в мире предложение.

Действительно, не пора ли возвращаться домой?",photo,
9,22231,2022-11-17 16:30:58+00:00,,PeerChannel(channel_id=1126629353),,"✔️Похоже, что Москва все-таки хочет праздновать Новый год. Не забывая про СВО и тех, кто ею затронут, разумеется. Сергей Семёнович весьма эмоционально, но в то же время с понятными и близкими всем доводами доказывает, что лучше наличие праздника, чем его отсутствие.

Тот, кто праздновать не хочет, не находит в себе сил, не находит на то достаточно оснований, те легко могут игнорировать народные гуляния, дело всё-таки добровольное. Для остальных же актуален вопрос поддержки и участников СВО, и тех мирных жителей, кто пострадал от всего этого в общем безвинно. Хотя и тут всё только с вашего согласия. Хотите внести вклад – городские гуляния, если таковые всё-таки случатся, для вас. Не хотите – громадный мегаполис простирается перед вами, ищите развлечений и увеселений на свой вкус.",text,
