,id,date,from_id,to_id,fwd_from,message,type,duration
0,28409,2022-11-18 13:55:31+00:00,,PeerChannel(channel_id=1387701698),,@rosich_ru,video,36
1,2294239,2022-11-18 14:58:07+00:00,PeerUser(user_id=5247337093),PeerChannel(channel_id=1234644047),,"Наш ""Бандит"" по круче💪",text,
2,2294203,2022-11-18 14:54:37+00:00,PeerUser(user_id=1920316042),PeerChannel(channel_id=1234644047),,Собаку надо освободить.,text,
3,2294081,2022-11-18 14:38:20+00:00,PeerUser(user_id=5189351750),PeerChannel(channel_id=1234644047),,Тише ты.🤫Не говори им.Пусть будет😂,text,
4,2294055,2022-11-18 14:30:25+00:00,PeerUser(user_id=5057662343),PeerChannel(channel_id=1234644047),,"Наверное да, так и должно быть, а может изменились методы, давно это было- но за что купил, за то продаю. Не от бабушек слышал, тоже кинолог, погранец, ему сейчас должно быть под 60+-. Кстати, да, тоже озвучивалась такая же продолжительность жизни собаки- 1-2 года. Тогда использовали для этого спаниелев.",text,
5,2294044,2022-11-18 14:26:51+00:00,PeerUser(user_id=5167844891),PeerChannel(channel_id=1234644047),,Хохлов надо лишить хозяйских прав на всех собак и кошек! Пусть тараканов воспитывают.,text,
6,2294036,2022-11-18 14:25:51+00:00,PeerUser(user_id=1205698432),PeerChannel(channel_id=1234644047),,"И сапёрами берут
Меланхоличных собак 😂эта найдёт и подорвёт.",text,
7,2294007,2022-11-18 14:20:59+00:00,PeerUser(user_id=1513206659),PeerChannel(channel_id=1234644047),,"Я кинологом трудился, бред он заразителен, рабочая собака готовиться год, если ты её наркоманкой сделаешь, она у тебя вместо 4 лет работы в среднем проработает год или два и будет работать не все сутки, а час или два в день.
  Это мифы тех, кто ни разу ни одну собаку не подготовил в своей жизни",text,
8,2293993,2022-11-18 14:17:49+00:00,PeerUser(user_id=5189351750),PeerChannel(channel_id=1234644047),,"Ага днём находит, ночью перепрятывает.Он не виноват что на Украине родился🥴",text,
9,2293965,2022-11-18 14:14:23+00:00,PeerUser(user_id=871778753),PeerChannel(channel_id=1234644047),,☺️,sticker,
10,2293959,2022-11-18 14:13:46+00:00,PeerUser(user_id=5724934403),PeerChannel(channel_id=1234644047),,"У меня друг дальнобой, вырастил его в кабине практически, надрессировал так что хоть на выставки води.)",text,
11,2293958,2022-11-18 14:13:43+00:00,PeerUser(user_id=5057662343),PeerChannel(channel_id=1234644047),,"Чем показывать свой тонкий юмор, спроси хотябы погранцов про ломки собачек- наркоманок. Говорят несмешно очень",text,
12,2293949,2022-11-18 14:12:30+00:00,PeerUser(user_id=5286541206),PeerChannel(channel_id=1234644047),,"Одно разумное существо в хохляндии, за собой закапывает, не то что солдаты, 200 не подбирают",text,
13,2293928,2022-11-18 14:06:23+00:00,PeerUser(user_id=2093673866),PeerChannel(channel_id=1234644047),,Грешно смеяться над животными.,text,
14,2293926,2022-11-18 14:05:38+00:00,PeerUser(user_id=483324262),PeerChannel(channel_id=1234644047),,Патрик,text,
