,,,,name_handle,,subscribers,1 post reach,citation index
РИА Новости2 622 830 subscribersNews and media,https://tgstat.ru/en/channel/@rian_ru/stat,https://tgstat.ru/en/channel/,rian_ru/stat,rian_ru,stat,2 622 830,820.4k,10 159.9
2 622 830,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,820.4k,10 159.9,#2
820.4k,,drop,,#VALUE!,,1 post reach,citation index,Раньше всех. Ну почти.1 386 481 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,10 159.9,#2,1 386 481
10 159.9,#ERROR!,drop,,#VALUE!,,citation index,Раньше всех. Ну почти.1 386 481 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#2,1 386 481,588.3k
#2,,drop,,#VALUE!,,Раньше всех. Ну почти.1 386 481 subscribersNews and media,subscribers,1 post reach
Раньше всех. Ну почти.1 386 481 subscribersNews and media,https://tgstat.ru/en/channel/@bbbreaking/stat,https://tgstat.ru/en/channel/,bbbreaking/stat,bbbreaking,stat,1 386 481,588.3k,8 791.0
1 386 481,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,588.3k,8 791.0,#3
588.3k,#ERROR!,drop,,#VALUE!,,1 post reach,citation index,RT на русском661 212 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,8 791.0,#3,661 212
8 791.0,,drop,,#VALUE!,,citation index,RT на русском661 212 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#3,661 212,157.2k
#3,,drop,,#VALUE!,,RT на русском661 212 subscribersNews and media,subscribers,1 post reach
RT на русском661 212 subscribersNews and media,https://tgstat.ru/en/channel/@rt_russian/stat,https://tgstat.ru/en/channel/,rt_russian/stat,rt_russian,stat,661 212,157.2k,7 911.5
661 212,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,157.2k,7 911.5,#4
157.2k,,drop,,#VALUE!,,1 post reach,citation index,Mash1 764 289 subscribersNews and media
1 post reach,,drop,,#VALUE!,,7 911.5,#4,1 764 289
7 911.5,,drop,,#VALUE!,,citation index,Mash1 764 289 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#4,1 764 289,815.2k
#4,,drop,,#VALUE!,,Mash1 764 289 subscribersNews and media,subscribers,1 post reach
Mash1 764 289 subscribersNews and media,https://tgstat.ru/en/channel/@breakingmash/stat,https://tgstat.ru/en/channel/,breakingmash/stat,breakingmash,stat,1 764 289,815.2k,7 480.5
1 764 289,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,815.2k,7 480.5,#5
815.2k,#ERROR!,drop,,#VALUE!,,1 post reach,citation index,Readovka1 387 412 subscribersNews and media
1 post reach,,drop,,#VALUE!,,7 480.5,#5,1 387 412
7 480.5,#ERROR!,drop,,#VALUE!,,citation index,Readovka1 387 412 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#5,1 387 412,426.8k
#5,,drop,,#VALUE!,,Readovka1 387 412 subscribersNews and media,subscribers,1 post reach
Readovka1 387 412 subscribersNews and media,https://tgstat.ru/en/channel/@readovkanews/stat,https://tgstat.ru/en/channel/,readovkanews/stat,readovkanews,stat,1 387 412,426.8k,6 386.9
1 387 412,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,426.8k,6 386.9,#6
426.8k,,drop,,#VALUE!,,1 post reach,citation index,ТАСС337 945 subscribersNews and media
1 post reach,,drop,,#VALUE!,,6 386.9,#6,337 945
6 386.9,,drop,,#VALUE!,,citation index,ТАСС337 945 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#6,337 945,55.8k
#6,#ERROR!,drop,,#VALUE!,,ТАСС337 945 subscribersNews and media,subscribers,1 post reach
ТАСС337 945 subscribersNews and media,https://tgstat.ru/en/channel/@tass_agency/stat,https://tgstat.ru/en/channel/,tass_agency/stat,tass_agency,stat,337 945,55.8k,6 205.9
