de Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
Finanzaktivitätssteuer	tax	0	0	1	1	1	0	1	0	1
verschiedentlich	be	0	1	0	0	0	0	1	0	1
zielgerichteten	target	0	0	0	1	0	0	0	0	0
reichende	major	0	1	0	0	1	1	1	0	1
zusammengestellten	compile	1	1	1	1	1	1	1	0	1
Handzeichen	hand	1	1	0	1	1	1	1	0	1
nieder	reflect	0	0	0	0	0	0	1	0	0
Schadensbehebung	repair	0	1	0	1	1	1	1	0	1
Welthandelssystem	trade	0	1	1	1	1	1	1	0	1
Grundrechtecharta	charter	1	1	1	1	1	1	1	1	1
Eure	tell	1	1	0	1	0	1	1	0	0
Euro	achieve	1	1	1	1	1	1	1	0	1
Behörden	power	1	0	0	0	0	0	1	0	1
Reformierung	reform	1	1	0	1	0	1	1	0	1
Ministerkonferenz	meet	0	1	1	1	1	1	1	0	1
Zügelung	curb	0	0	0	-1	0	1	1	0	0
zukunftsorientiert	gear	0	0	0	1	1	1	0	0	0
berührte	touch	1	0	1	0	0	1	1	0	1
Meinungsunterschiede	differ	1	0	0	0	1	1	1	0	0
besorgniserregend	worry	0	0	-1	-1	0	0	1	-1	-1
Sack	poke	0	-1	0	-1	0	1	0	-1	0
gleichzeitige	parallel	0	0	0	1	1	0	1	0	0
eingetretenen	occur	1	1	0	1	0	1	0	1	0
hinzuweisen	draw	0	0	1	1	1	1	0	0	0
aufwirft	raise	0	0	1	1	0	0	1	0	1
Rücktritt	resign	0	0	0	0	-1	1	1	0	-1
kontrollierter	control	1	0	1	0	1	1	1	0	1
kontrolliertes	control	1	0	1	0	1	1	1	0	1
anstehende	pend	0	0	0	1	0	1	1	0	1
Massenvergewaltigungen	rape	0	-1	-1	-1	0	1	0	-1	1
weiterentwickelt	develop	0	1	0	1	0	0	1	0	0
rücksichtslose	blind	0	0	-1	-1	0	1	1	0	0
mehrfacher	respect	1	1	1	1	0	1	1	1	1
kontrollierten	control	1	0	1	0	1	1	1	0	1
Atmen	breathe	0	1	0	0	1	1	1	0	1
Einzelmaßnahmen	project	0	0	1	1	1	1	1	0	1
Fraktionskollegen	group	0	0	0	1	1	0	1	0	1
Ruhmesblatt	credit	1	0	1	1	1	1	1	1	1
Erzeuger	farm	0	1	1	1	1	1	1	0	1
herausfordernde	challenge	0	1	-1	-1	1	1	1	-1	0
Dumpings	dump	0	-1	0	-1	1	0	0	-1	1
Absatzmärkten	market	0	0	0	1	1	1	1	0	1
erhobenen	collect	1	1	1	1	1	1	1	0	1
erhobenem	head	1	0	1	1	1	1	1	0	1
regierenden	rule	1	1	1	1	1	1	1	0	1
Gefrierfisch	freeze	0	0	0	0	0	1	0	-1	0
prüfte	examine	1	1	0	1	0	1	1	0	0
Sozialschutzes	modernize	1	1	0	1	1	1	1	0	1
verstreicht	pass	0	1	0	0	0	1	1	0	0
Umzug	move	0	0	0	1	0	1	1	0	0
lokalisieren	locate	0	1	0	1	1	1	1	0	0
anbahnenden	emerge	1	1	0	0	0	1	1	0	1
Börse	stock	0	0	1	1	1	1	1	0	1
weiterlaufen	continue	1	1	1	1	1	0	1	0	1
Zukunftsfragen	issue	0	0	0	1	0	1	1	0	0
Kommentaren	comment	0	0	0	0	0	1	1	0	1
geschuldet	owe	0	0	-1	0	-1	0	1	0	-1
Arbeitszeitverkürzung	shorten	0	1	0	0	1	1	1	0	0
ausgebauten	commute	0	1	1	0	1	1	1	0	1
Mangel	lack	0	0	0	0	-1	1	1	0	-1
äußerte	express	-1	0	0	0	1	0	1	0	0
treibenden	drive	1	1	0	1	0	1	1	0	1
anheben	raise	0	0	1	1	0	0	1	0	1
Schönheitswettbewerbe	contest	0	0	-1	0	0	1	1	0	-1
zerbrechen	break	0	0	-1	-1	1	1	1	0	1
genommenen	capture	0	0	1	0	1	1	1	-1	1
verlaufenden	progress	1	1	0	1	1	1	1	0	1
Aktualisierungen	update	0	1	0	1	1	1	1	0	1
Mannschaft	team	0	0	0	1	1	0	1	0	1
Gemeinschaft	group	0	0	0	1	1	0	1	0	1
ziehe	prefer	0	0	1	1	1	1	1	0	1
Recycling-Gesellschaft	recycle	0	0	1	1	1	1	0	0	1
Saatgut	crop	0	0	1	0	1	1	1	0	1
verschwendet	waste	0	-1	0	-1	-1	1	1	0	-1
Grenzveränderungen	change	0	1	0	1	0	1	1	0	1
Deutschland	prohibit	0	0	-1	-1	0	0	1	0	0
überwindenden	overcome	0	1	-1	0	1	0	1	0	1
Finanzquellen	finance	1	1	1	1	1	1	1	0	1
-verwertung	recycle	0	0	1	1	1	1	0	0	1
Militärstützpunkte	base	0	1	1	1	1	1	1	0	1
verschwenden	waste	0	-1	0	-1	-1	1	1	0	-1
Umverteilung	transfer	0	0	0	0	0	1	1	0	0
misshandelt	mistreat	0	-1	-1	-1	0	1	0	-1	1
locken	trap	0	0	0	-1	0	0	0	-1	0
locker	relax	0	1	0	1	1	0	1	0	1
vorauszuplanen	project	0	0	1	1	1	1	1	0	1
menschenunwürdige	degrade	0	-1	0	-1	0	1	-1	-1	0
misshandeln	abuse	1	-1	-1	-1	0	1	1	-1	-1
