es Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
bloqueos	blockade	0	0	-1	-1	0	1	1	0	0
Pronk	do	1	1	1	0	0	1	1	0	1
desatención	neglect	1	-1	-1	-1	-1	1	0	-1	-1
Miembro	level	0	1	1	1	1	0	1	0	1
evitamos	avoid	-1	1	-1	0	1	-1	1	0	1
Doñana	park	0	0	0	0	0	1	1	0	1
dejábamos	make	0	0	0	1	0	0	1	0	0
tildado	call	0	0	1	1	0	1	1	0	1
sacándolo	take	1	1	1	0	1	1	1	0	1
Deseamos	want	1	0	1	0	0	1	1	0	1
impotente	have	1	1	1	0	0	1	1	0	1
debatía	be	0	1	0	0	0	0	1	0	1
ilegalizar	outlaw	-1	1	-1	-1	1	1	1	0	1
Prestiges	sort	0	0	0	1	0	1	1	0	0
accidentado	have	1	1	1	0	0	1	1	0	1
despierte	wake	1	0	0	0	0	1	1	-1	0
paternalista	be	0	1	0	0	0	0	1	0	1
igual	like	1	1	1	1	0	1	1	1	1
ciudades	place	0	0	1	1	1	1	1	0	1
tía	insure	1	1	1	1	1	1	1	0	1
interrogarlos	interrogate	0	0	0	-1	0	1	1	-1	1
arriesgarnos	risk	-1	0	-1	0	-1	0	1	0	-1
hermana	bring	0	0	1	1	0	0	1	0	0
estériles	result	0	0	0	0	1	0	1	0	0
emancipe	cut	0	0	0	-1	0	0	1	0	0
influenciarnos	influence	0	0	0	0	0	1	1	0	0
acatase	step	1	1	1	1	1	0	1	0	1
Cocilovo	be	0	1	0	0	0	0	1	0	1
gastara	spend	0	1	0	0	0	0	1	0	0
proclamaron	proclaim	1	1	1	1	1	1	1	0	1
Jornada	celebrate	1	1	1	1	1	1	1	0	1
investigaron	investigate	0	1	0	0	1	1	1	0	0
dictado	dictate	0	1	0	1	0	1	1	0	1
subsanarlo	correct	0	0	0	1	0	1	1	0	0
manada	herd	0	0	1	1	0	1	1	0	1
desearle	wish	1	1	1	1	1	1	1	1	1
compuesto	make	0	0	0	1	0	0	1	0	0
impecablemente	satisfy	1	1	0	1	0	1	1	1	1
desplazó	go	0	0	0	0	0	0	1	0	0
declaraban	be	0	1	0	0	0	0	1	0	1
viesen	be	0	1	0	0	0	0	1	0	1
ocurridas	occur	1	1	0	1	0	1	0	1	0
Leviatán	accompany	1	1	1	1	1	1	1	1	1
enmarcados	extend	0	1	1	1	1	1	1	0	1
entrevistadas	interview	0	1	1	1	1	1	1	0	1
dispuestos-	ready	0	1	1	1	1	0	1	0	1
Miert	group	0	0	0	1	1	0	1	0	1
consentimiento	consent	0	1	0	1	1	1	1	1	1
moderadas	moderate	1	0	0	1	0	1	1	0	0
ignoraba	ignore	0	-1	-1	-1	0	1	0	-1	0
proyectos	project	0	0	1	1	1	1	1	0	1
tildada	describe	0	0	0	1	0	0	1	0	1
aventura	venture	0	0	1	0	1	1	1	0	1
fuera	be	0	1	0	0	0	0	1	0	1
extenderse	extend	0	1	1	1	1	1	1	0	1
mineros	mine	0	0	0	1	0	1	1	0	0
fuere	rate	0	1	0	1	0	0	1	0	0
retrasándose	be	0	1	0	0	0	0	1	0	1
congratulándome	welcome	1	1	1	1	1	1	1	1	1
chapuceramente	function	0	1	0	1	1	1	1	0	0
batiendo	break	0	0	-1	-1	1	1	1	0	1
carcasas	quote	1	1	1	1	1	1	1	0	0
1997-	base	0	1	1	1	1	1	1	0	1
capacitación	train	1	1	1	1	1	1	1	1	1
270	boast	1	1	1	1	1	1	1	0	1
Tratado	draft	1	1	1	1	1	1	1	0	1
276	require	0	1	1	0	1	1	1	0	0
arrastradas	sweep	1	0	0	0	0	1	1	0	0
entretenidos	entertain	1	1	1	1	0	1	1	1	1
satisfacerlos	accommodate	1	1	0	1	0	1	1	0	0
guardados	lock	0	0	1	1	0	0	1	0	1
enredarlo	feel	1	1	1	0	0	0	1	0	1
derrotada	defeat	0	0	-1	-1	1	1	1	-1	1
Recibe	receive	1	1	1	0	1	1	1	0	1
analicen	look	0	1	1	0	0	0	1	0	1
derrotado	defeat	0	0	-1	-1	1	1	1	-1	1
esforzáramos	work	1	1	1	1	0	1	1	0	1
-esperémoslo-	hope	1	1	1	1	0	0	1	0	1
convertirlas	make	0	0	0	1	0	0	1	0	0
asumirlo	be	0	1	0	0	0	0	1	0	1
dialoga	have	1	1	1	0	0	1	1	0	1
dialogo	constitute	1	1	1	1	1	1	1	1	1
asumirla	take	1	1	1	0	1	1	1	0	1
amortiguada	round	0	0	0	0	1	0	1	0	0
detraídos	take	1	1	1	0	1	1	1	0	1
BIRD	put	1	1	1	0	1	1	1	0	1
Malaisia	further	1	1	1	1	0	1	1	0	1
gastará	spend	0	1	0	0	0	0	1	0	0
comedores	cater	0	1	1	0	1	0	1	0	1
-esperamos	hope	1	1	1	1	0	0	1	0	1
Tercero	remind	1	1	1	1	0	1	1	0	0
probabilidad	risk	-1	0	-1	0	-1	0	1	0	-1
gasolineras	station	0	0	0	0	1	0	1	0	0
inmutarse	face	0	0	0	0	1	1	1	0	1
desplaza	move	0	0	0	1	0	1	1	0	0
administrativos	die	0	1	0	-1	-1	1	1	0	-1
sillón	seat	1	1	1	1	0	1	1	1	0
chino	have	1	1	1	0	0	1	1	0	1
moderada	moderate	1	0	0	1	0	1	1	0	0
aunando	bring	0	0	1	1	0	0	1	0	0
promovemos	promote	1	1	1	1	1	1	1	0	1
secundaria-	leave	0	0	0	0	0	0	1	-1	0
visitó	visit	1	1	1	1	1	1	1	1	1
teniéndolo	do	1	1	1	0	0	1	1	0	1
librando	wage	0	1	1	1	1	1	1	0	1
juro	swear	0	0	0	0	0	1	1	0	0
apresuremos	introduce	1	1	1	1	1	1	1	1	1
penalizando	penalize	0	-1	0	-1	0	1	0	-1	0
conmocionados	shock	0	0	0	-1	0	1	-1	-1	0
