fr Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
édifie	succeed	0	1	1	0	1	1	1	0	1
encouragerait	encourage	1	1	1	1	0	1	1	1	1
encouragerais	encourage	1	1	1	1	0	1	1	1	1
méthodologies	develop	0	1	0	1	0	0	1	0	0
Pronk	say	0	0	0	0	0	0	1	0	0
accueille	welcome	1	1	1	1	1	1	1	1	1
Doñana	park	0	0	0	0	0	1	1	0	1
révolutions	place	0	0	1	1	1	1	1	0	1
accueilli	welcome	1	1	1	1	1	1	1	1	1
cheptels	herd	0	0	1	1	0	1	1	0	1
affaiblira	weaken	0	-1	0	-1	0	1	0	-1	0
paternaliste	advocate	1	1	1	1	1	1	1	0	1
orthographier	write	1	1	1	1	1	1	1	0	1
libérés	release	0	0	0	1	0	1	1	1	1
repartira	point	0	0	0	0	1	0	1	0	0
Western	extort	-1	0	-1	-1	1	1	1	0	1
libérée	release	0	0	0	1	0	1	1	1	1
Euro	do	1	1	1	0	0	1	1	0	1
reflété	reflect	0	0	0	0	0	0	1	0	0
enseveli	bury	1	1	0	0	-1	1	1	-1	-1
obligeance	please	0	0	0	1	0	1	1	1	0
déverser	dump	0	-1	0	-1	1	0	0	-1	1
savaient	know	1	1	1	0	1	1	1	0	1
Valle	need	0	1	1	0	0	1	1	0	0
touristes	travel	1	1	1	0	1	0	1	0	1
adoptent	adopt	1	1	1	1	1	1	1	0	1
protégions	protect	1	1	1	1	0	1	1	1	1
considérable	major	0	1	0	0	1	1	1	0	1
analyseront	turn	0	0	0	0	0	0	1	0	0
liaisons	link	1	1	1	1	1	1	1	0	0
ratifie	ratify	1	1	1	1	1	1	1	0	1
précédé	precede	0	0	0	1	0	1	1	0	0
piocher	dip	0	0	1	1	0	1	1	0	0
Miert	give	0	1	1	0	0	0	1	0	1
néocolonialisme	own	0	1	1	1	1	1	1	0	1
cherchions	seek	1	1	1	1	1	1	1	0	1
PREE	mind	0	0	1	1	1	1	1	0	1
assignats	cast	0	0	0	0	0	0	1	0	0
signifions	prepare	1	1	1	1	1	1	1	1	1
controversé	subject	0	0	1	1	0	1	1	0	1
chaussure	manufacture	1	1	1	1	1	1	1	0	1
risquées	risk	-1	0	-1	0	-1	0	1	0	-1
ouvrés	work	1	1	1	1	0	1	1	0	1
audimat	increase	1	1	0	1	0	1	1	0	1
1997.	level	0	1	1	1	1	0	1	0	1
27.	turn	0	0	0	0	0	0	1	0	0
diversifiées	diversify	0	0	0	0	1	1	1	0	0
prolongeons	extend	0	1	1	1	1	1	1	0	1
272	back	1	1	1	1	1	1	1	1	1
