pl Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
pociągałoby	incur	0	0	0	0	0	0	1	0	0
złamanie	breach	0	-1	0	-1	0	1	1	-1	0
złamania	break	0	0	-1	-1	1	1	1	0	1
mroźnych	freeze	0	0	0	0	0	1	0	-1	0
pozbawiając	deprive	0	-1	0	-1	0	1	0	-1	0
zacieśnieniu	strengthen	1	1	0	1	0	1	1	1	0
załamuje	be	0	1	0	0	0	0	1	0	1
zmierzaliśmy	have	1	1	1	0	0	1	1	0	1
zamawia	be	0	1	0	0	0	0	1	0	1
ostrożnościowe	come	0	1	0	0	0	0	1	0	0
postępowaniu	process	0	0	1	1	1	1	1	0	0
unifikacji	unify	1	1	0	1	1	1	1	0	0
wypowiadając	speak	1	1	1	1	1	1	1	0	1
usunięcie	remove	-1	1	-1	-1	1	0	1	-1	0
usunięcia	remove	-1	1	-1	-1	1	0	1	-1	0
postępowanie	conduct	0	0	1	1	0	1	1	0	1
mieszkalne	house	1	1	0	1	1	1	1	1	1
powodowałaby	have	1	1	1	0	0	1	1	0	1
postępowania	conduct	0	0	1	1	0	1	1	0	1
wycofał	withdraw	0	0	0	-1	0	1	1	0	0
usunięciu	remove	-1	1	-1	-1	1	0	1	-1	0
większych	major	0	1	0	0	1	1	1	0	1
gruzińskimi	process	0	0	1	1	1	1	1	0	0
browary	be	0	1	0	0	0	0	1	0	1
policyjnym	police	0	0	0	-1	0	1	1	0	0
czasach	time	0	0	1	0	1	0	1	0	1
zderzyły	have	1	1	1	0	0	1	1	0	1
godzinę	time	0	0	1	0	1	0	1	0	1
morskiego	ship	1	0	1	1	0	1	1	0	1
idącą	go	0	0	0	0	0	0	1	0	0
przewidywana	envisage	1	1	1	1	1	1	1	0	1
przewidywane	envisage	1	1	1	1	1	1	1	0	1
gwarantująca	guarantee	1	1	1	1	1	1	1	1	1
jednostce	hinder	0	-1	0	-1	0	1	0	-1	0
przewidywano	predict	0	1	0	0	0	1	1	0	0
zniewagę	insult	0	-1	-1	-1	0	1	0	-1	1
oddzieleniu	be	0	1	0	0	0	0	1	0	1
gwarantujący	guarantee	1	1	1	1	1	1	1	1	1
zniewagą	insult	0	-1	-1	-1	0	1	0	-1	1
jednoczesne	time	0	0	1	0	1	0	1	0	1
jednoczesna	time	0	0	1	0	1	0	1	0	1
typowego	be	0	1	0	0	0	0	1	0	1
odmawiająca	refuse	0	0	-1	-1	0	1	1	-1	0
bezładnej	be	0	1	0	0	0	0	1	0	1
wolicie	prefer	0	0	1	1	1	1	1	0	1
oddzielenie	separate	0	0	0	-1	0	1	1	-1	0
wymieniany	make	0	0	0	1	0	0	1	0	0
łagodniejsze	relax	0	1	0	1	1	0	1	0	1
życzliwością	deal	0	0	0	0	0	0	0	0	0
leczymy	be	0	1	0	0	0	0	1	0	1
targu	market	0	0	0	1	1	1	1	0	1
wywierając	have	1	1	1	0	0	1	1	0	1
żyli	live	1	1	1	1	1	1	1	0	1
zwalczającego	code	1	1	0	1	0	1	1	0	0
tajemniczości	move	0	0	0	1	0	1	1	0	0
poręczenia	guarantee	1	1	1	1	1	1	1	1	1
targi	exemplify	1	1	1	1	1	1	1	0	1
opłacalne	pay	0	0	-1	0	0	-1	1	0	-1
poszukiwać	look	0	1	1	0	0	0	1	0	1
wymieniana	exchange	0	0	1	0	1	0	1	0	0
wymieniane	exchange	0	0	1	0	1	0	1	0	0
łagodniejszy	process	0	0	1	1	1	1	1	0	0
odmawiając	refuse	0	0	-1	-1	0	1	1	-1	0
karteli	receive	1	1	1	0	1	1	1	0	1
dialogu	engage	0	0	0	1	1	1	1	0	1
radykalny	leap	0	0	0	0	0	1	1	0	0
przeciwieństwem	reverse	0	0	-1	0	0	1	1	0	0
byliśmy	be	0	1	0	0	0	0	1	0	1
realistami	remain	0	0	0	0	0	0	1	0	0
uspokajać	reassure	1	1	1	1	0	1	1	1	1
sterować	guide	0	0	1	1	1	1	1	1	1
opuści	leave	0	0	0	0	0	0	1	-1	0
radykalna	prosper	1	1	0	1	1	1	1	0	1
obiektem	be	0	1	0	0	0	0	1	0	1
uznania	acknowledge	0	1	1	1	1	0	1	0	1
zacieśniły	have	1	1	1	0	0	1	1	0	1
kodeks	code	1	1	0	1	0	1	1	0	0
długoterminowym	term	1	1	0	1	1	1	0	0	0
podejmowanymi	take	1	1	1	0	1	1	1	0	1
wspólnej	share	1	1	1	0	1	1	1	0	1
wyrażanie	express	-1	0	0	0	1	0	1	0	0
poszukiwań	search	0	0	0	0	0	1	1	0	0
odbywającymi	be	0	1	0	0	0	0	1	0	1
barkach	shoulder	0	0	0	0	0	1	1	0	1
zacieśniła	conclude	1	1	1	1	0	1	1	0	1
eksperymentowania	experiment	0	0	0	0	1	1	1	0	0
niezapraszaniu	group	0	0	0	1	1	0	1	0	1
eksperymentowanie	experiment	0	0	0	0	1	1	1	0	0
wykwalifikowanych	qualify	1	1	0	1	0	1	1	1	0
pozostającymi	care	1	1	1	1	0	1	1	0	1
inwestujących	invest	1	1	1	1	1	1	1	1	1
wyrażania	express	-1	0	0	0	1	0	1	0	0
poruszonego	raise	0	0	1	1	0	0	1	0	1
oddalonych	isolate	0	0	-1	-1	0	1	1	-1	0
dowiedzie	conclude	1	1	1	1	0	1	1	0	1
istniejącej	exist	1	1	1	0	1	0	1	0	1
zaprotestowania	protest	1	0	1	1	0	1	1	0	1
nieuzasadnionej	be	0	1	0	0	0	0	1	0	1
pozostającym	be	0	1	0	0	0	0	1	0	1
zaprzeczy	deny	0	0	-1	-1	0	1	1	0	-1
molestowania	abuse	1	-1	-1	-1	0	1	1	-1	-1
kupujący	need	0	1	1	0	0	1	1	0	0
gwarantującą	guarantee	1	1	1	1	1	1	1	1	1
represyjnej	like	1	1	1	1	0	1	1	1	1
przyjmujemy	welcome	1	1	1	1	1	1	1	1	1
jednoczesną	time	0	0	1	0	1	0	1	0	1
zniewaga	insult	0	-1	-1	-1	0	1	0	-1	1
twierdzeniom	claim	1	1	1	0	1	1	1	0	1
przejeżdżaniem	exceed	0	0	0	0	0	0	1	0	0
odrzucających	reject	0	0	-1	-1	0	1	1	0	0
uczynionych	be	0	1	0	0	0	0	1	0	1
zaprzecza	deny	0	0	-1	-1	0	1	1	0	-1
palącym	press	0	1	0	-1	0	1	1	-1	0
przystaną	agree	0	0	0	0	1	1	1	0	1
dna	pit	0	-1	0	-1	0	0	0	-1	0
przedakcesyjne	be	0	1	0	0	0	0	1	0	1
powiedzcie	tell	1	1	0	1	0	1	1	0	0
dno	sink	0	0	0	-1	1	0	0	-1	0
dni	time	0	0	1	0	1	0	1	0	1
radziły	cope	0	1	0	0	1	1	1	0	1
panów	ask	0	0	0	0	1	1	1	0	0
zwykł	be	0	1	0	0	0	0	1	0	1
kontrolowaniem	control	1	0	1	0	1	1	1	0	1
wystąpiliśmy	come	0	1	0	0	0	0	1	0	0
czuli	feel	1	1	1	0	0	0	1	0	1
odwrócili	turn	0	0	0	0	0	0	1	0	0
tranzytowych	feed	1	1	1	1	0	1	1	1	1
wzmaga	be	0	1	0	0	0	0	1	0	1
znajdowano	be	0	1	0	0	0	0	1	0	1
odblokowania	help	1	1	0	1	0	1	1	1	0
odblokowanie	be	0	1	0	0	0	0	1	0	1
liczony	count	0	0	1	1	1	1	1	0	1
sformułowania	word	0	1	0	0	0	0	1	0	0
dopasowywać	adjust	0	0	0	1	0	1	1	0	0
przewożenia	transport	0	1	0	1	1	1	1	0	0
wstrząsające	shock	0	0	0	-1	0	1	-1	-1	0
przewożenie	transfer	0	0	0	0	0	1	1	0	0
liczone	be	0	1	0	0	0	0	1	0	1
umowach	contract	-1	0	-1	0	-1	-1	1	0	-1
odpowiedzialnego	charge	-1	0	0	-1	1	1	1	-1	1
silniej	give	0	1	1	0	0	0	1	0	1
niewydolności	malfunction	0	-1	0	0	0	0	-1	0	0
setka	involve	0	0	0	0	1	1	1	0	0
kwestionowana	question	0	0	1	1	1	1	1	0	1
kwestionowane	question	0	0	1	1	1	1	1	0	1
