pt Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
obrigaria	force	0	0	0	-1	0	1	0	-1	0
sobrepõem	overlap	0	0	0	0	0	1	1	0	0
emancipe	provide	1	1	1	1	1	1	1	0	1
bloqueou	block	0	0	-1	-1	0	1	1	0	-1
explodindo	explode	0	0	0	-1	0	0	0	0	0
decepcionadas	disappoint	0	-1	0	-1	0	1	0	-1	-1
cesse	cease	-1	0	-1	-1	-1	1	1	0	-1
Pronk	draw	0	0	1	1	1	1	0	0	0
CQNUAC	have	1	1	1	0	0	1	1	0	1
evitamos	avoid	-1	1	-1	0	1	-1	1	0	1
Doñana	park	0	0	0	0	0	1	1	0	1
prestadoras	provide	1	1	1	1	1	1	1	0	1
coadune	line	0	0	0	0	1	0	1	0	1
configurada	shape	1	1	0	1	1	1	1	0	0
corresponder	meet	0	1	1	1	1	1	1	0	1
coaduna	line	0	0	0	0	1	0	1	0	1
regularize	contribute	1	1	1	1	1	1	1	0	1
devotámos	have	1	1	1	0	0	1	1	0	1
apregoar-se	go	0	0	0	0	0	0	1	0	0
regulariza	deal	0	0	0	0	0	0	0	0	0
prazo	term	1	1	0	1	1	1	0	0	0
farão	do	1	1	1	0	0	1	1	0	1
estudámos	have	1	1	1	0	0	1	1	0	1
paternalista	state	0	1	1	1	0	1	1	0	0
igual	equal	1	1	0	1	0	1	1	0	1
benesses	return	0	0	0	0	0	1	1	0	0
vê-lo	see	1	1	1	1	1	1	1	0	1
atoladas	down	0	0	0	0	0	0	1	0	0
abster-me	abstain	0	0	-1	0	0	0	1	0	1
apareçam	appear	1	0	1	0	0	1	1	0	1
forçá	do	1	1	1	0	0	1	1	0	1
Euro	zone	0	0	0	0	0	0	1	0	0
atingia	be	0	1	0	0	0	0	1	0	1
Cocilovo	congratulate	1	1	1	1	1	1	1	1	1
Shulz	constitute	1	1	1	1	1	1	1	1	1
baterá	break	0	0	-1	-1	1	1	1	0	1
emanados	come	0	1	0	0	0	0	1	0	0
cirúrgicas	further	1	1	1	1	0	1	1	0	1
Holbrooke	congratulate	1	1	1	1	1	1	1	1	1
capoeira	rear	0	0	0	0	1	1	1	0	0
atingir	achieve	1	1	1	1	1	1	1	0	1
atingiu	have	1	1	1	0	0	1	1	0	1
unitária	unify	1	1	0	1	1	1	1	0	0
manada	herd	0	0	1	1	0	1	1	0	1
chama-lhe	call	0	0	1	1	0	1	1	0	1
unitário	single	0	0	0	-1	0	0	1	0	0
Segurança	write	1	1	1	1	1	1	1	0	1
tranquilizou-nos	reassure	1	1	1	1	0	1	1	1	1
contasse	have	1	1	1	0	0	1	1	0	1
suinicultores	devastate	1	-1	0	-1	0	1	-1	-1	0
oponho	oppose	0	0	-1	-1	0	1	1	0	-1
entrevistadas	interview	0	1	1	1	1	1	1	0	1
oponha	oppose	0	0	-1	-1	0	1	1	0	-1
co-financiadas	fund	1	1	1	1	1	1	1	0	1
Miert	blind	0	0	-1	-1	0	1	1	0	0
apelidamos	call	0	0	1	1	0	1	1	0	1
moderadas	moderate	1	0	0	1	0	1	1	0	0
carências	need	0	1	1	0	0	1	1	0	0
abandonássemos	abandon	0	-1	-1	-1	-1	0	1	-1	-1
interferiria	interfere	0	-1	0	0	0	1	0	0	0
esbater	down	0	0	0	0	0	0	1	0	0
esbateu	down	0	0	0	0	0	0	1	0	0
inscrevi	have	1	1	1	0	0	1	1	0	1
dirigir	address	1	1	0	1	1	1	1	0	1
anulou	annul	0	0	-1	-1	0	1	1	0	1
apagassem	go	0	0	0	0	0	0	1	0	0
Tratado	draft	1	1	1	1	1	1	1	0	1
273	be	0	1	0	0	0	0	1	0	1
saúdo-a	welcome	1	1	1	1	1	1	1	1	1
queixarem	complain	0	0	0	0	0	1	1	0	1
trienal	down	0	0	0	0	0	0	1	0	0
saúdo-o	welcome	1	1	1	1	1	1	1	1	1
esbatem	be	0	1	0	0	0	0	1	0	1
27º	deprive	0	-1	0	-1	0	1	0	-1	0
refreadas	control	1	0	1	0	1	1	1	0	1
guardados	keep	1	1	1	0	1	1	1	1	1
derrotada	defeat	0	0	-1	-1	1	1	1	-1	1
inestimáveis	be	0	1	0	0	0	0	1	0	1
derrotado	defeat	0	0	-1	-1	1	1	1	-1	1
expressivos	be	0	1	0	0	0	0	1	0	1
proporcionar-lhe	provide	1	1	1	1	1	1	1	0	1
apressou	rush	0	0	-1	-1	1	1	1	-1	0
apelidou	call	0	0	1	1	0	1	1	0	1
impotente	be	0	1	0	0	0	0	1	0	1
dialoga	talk	0	0	0	0	0	1	1	0	0
assemelhava-se	like	1	1	1	1	0	1	1	1	1
sine	depend	0	0	0	0	1	0	1	0	0
saudava	welcome	1	1	1	1	1	1	1	1	1
endurecendo	tighten	0	0	0	0	0	1	1	0	0
indeferidos	reject	0	0	-1	-1	0	1	1	0	0
gastará	mean	0	0	0	0	0	-1	0	0	0
alijar	pass	0	1	0	0	0	1	1	0	0
meritória	merit	1	1	1	1	1	1	1	0	1
meritório	credit	1	0	1	1	1	1	1	1	1
dirigindo	address	1	1	0	1	1	1	1	0	1
mais.	meet	0	1	1	1	1	1	1	0	1
