sv Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
förbigås	be	0	1	0	0	0	0	1	0	1
förbigår	ignore	0	-1	-1	-1	0	1	0	-1	0
vanligast	occur	1	1	0	1	0	1	0	1	0
bannlysts	be	0	1	0	0	0	0	1	0	1
gängse	prevail	1	1	0	0	0	1	1	0	0
nordisk	consider	1	1	1	1	1	1	1	0	1
driftsutgifter	operate	1	1	1	1	1	1	1	0	1
stabilitetens	name	0	1	1	1	1	1	1	0	1
exkluderas	exclude	0	0	-1	-1	0	1	1	0	0
exkluderar	exclude	0	0	-1	-1	0	1	1	0	0
tilldelandet	award	1	1	1	1	0	1	1	0	1
samgenerering	provide	1	1	1	1	1	1	1	0	1
Pronk	stress	0	0	1	1	0	1	1	0	0
välkomnats	welcome	1	1	1	1	1	1	1	1	1
sakförhållandet	merit	1	1	1	1	1	1	1	0	1
nedgången	decline	0	0	-1	-1	0	1	1	0	0
medlemsförhandlingarna	time	0	0	1	0	1	0	1	0	1
tillgångssidan	side	0	0	0	0	1	0	1	0	0
hanterligt	prove	0	0	0	1	0	1	1	0	1
regelrätt	direct	0	0	1	1	0	1	1	0	1
vandring	march	0	0	0	0	0	0	1	0	0
oförsvarliga	can	0	0	0	0	0	1	1	0	1
volatiliteten	increase	1	1	0	1	0	1	1	0	1
stödpengar	aid	1	1	1	1	0	1	1	1	1
fredagsförmiddagarna	sit	0	0	0	0	0	0	0	0	0
konsumentskyddslagstiftning	fly	0	1	1	0	0	0	1	0	1
riskvilliga	risk	-1	0	-1	0	-1	0	1	0	-1
energieffektivitet	market	0	0	0	1	1	1	1	0	1
bocka	tick	0	0	0	0	0	1	1	0	0
ko-krisen	time	0	0	1	0	1	0	1	0	1
huvudsaken	point	0	0	0	0	1	0	1	0	0
Strukturfonderna	term	1	1	0	1	1	1	0	0	0
passagerartrafik	transport	0	1	0	1	1	1	1	0	0
torftiga	congratulate	1	1	1	1	1	1	1	1	1
lyckats	manage	1	1	1	1	1	1	1	0	1
krigsflyktingar	issue	0	0	0	1	0	1	1	0	0
biltillverkare	manufacture	1	1	1	1	1	1	1	0	1
finslipning	do	1	1	1	0	0	1	1	0	1
skift	shift	0	0	0	0	1	0	1	0	0
visshet	have	1	1	1	0	0	1	1	0	1
avfallsdirektiv	waste	0	-1	0	-1	-1	1	1	0	-1
säkerhetskänsla	feel	1	1	1	0	0	0	1	0	1
Dartmouths	comment	0	0	0	0	0	1	1	0	1
kännetecken	feature	1	1	1	1	1	1	1	1	1
fiskodlingen	farm	0	1	1	1	1	1	1	0	1
uppgivet	give	0	1	1	0	0	0	1	0	1
valobservationsdelegationen	be	0	1	0	0	0	0	1	0	1
manade	call	0	0	1	1	0	1	1	0	1
biltelefoner	phone	0	0	1	0	0	1	1	0	1
territoriers	set	0	0	1	1	1	1	1	0	1
slingra	dodge	0	0	0	-1	1	1	1	-1	0
statlig	state	0	1	1	1	0	1	1	0	0
fulländad	perfect	1	1	1	1	1	1	1	0	1
samhällsmål	aim	0	0	0	1	1	0	1	0	1
snabbtester	test	0	1	1	0	1	1	1	0	1
tidernas	time	0	0	1	0	1	0	1	0	1
motstridighet	conflict	0	0	0	-1	0	1	1	0	0
förslagets	draft	1	1	1	1	1	1	1	0	1
känslomässighet	term	1	1	0	1	1	1	0	0	0
yrkesutbildningskurser	train	1	1	1	1	1	1	1	1	1
Medelhavsbanken	be	0	1	0	0	0	0	1	0	1
överkostnaderna	cost	0	-1	0	0	0	0	1	-1	0
befogenheter	power	1	0	0	0	0	0	1	0	1
braindrain	drain	0	0	0	0	1	1	1	0	0
befogenheten	power	1	0	0	0	0	0	1	0	1
industrianläggningarna	plant	1	1	1	1	1	1	1	0	1
kärnkraft	power	1	0	0	0	0	0	1	0	1
utfodringsförbudet	feed	1	1	1	1	0	1	1	1	1
byggnadsmaterial	build	1	1	1	1	1	1	1	0	1
fackföreningsrepresentanterna	time	0	0	1	0	1	0	1	0	1
vildmarksområden	zone	0	0	0	0	0	0	1	0	0
uppkalla	name	0	1	1	1	1	1	1	0	1
skyddsområden	protect	1	1	1	1	0	1	1	1	1
växte	grow	1	1	1	1	1	1	1	0	1
administrerande	oversee	1	1	1	1	1	1	1	0	1
vanskligare	issue	0	0	0	1	0	1	1	0	0
sysselsättningspaketet	package	0	0	0	1	1	0	1	0	1
volontärerna	volunteer	1	1	0	1	0	1	1	0	1
pensionärsföreningarna	be	0	1	0	0	0	0	1	0	1
sysselsättningsförmågan	own	0	1	1	1	1	1	1	0	1
anmärka	say	0	0	0	0	0	0	1	0	0
energiresurser	supply	0	0	1	1	1	1	1	0	1
devisen	have	1	1	1	0	0	1	1	0	1
identiska	equal	1	1	0	1	0	1	1	0	1
270	boast	1	1	1	1	1	1	1	0	1
271	aim	0	0	0	1	1	0	1	0	1
273	be	0	1	0	0	0	0	1	0	1
närmre	aim	0	0	0	1	1	0	1	0	1
sysselsättningssiffrorna	figure	0	0	0	0	0	0	0	0	0
identiskt	accord	1	0	0	1	0	1	1	0	1
ledtider	lead	0	1	1	1	1	0	1	0	1
fordonsutsläppen	go	0	0	0	0	0	0	1	0	0
katastrofdrabbade	affect	1	0	0	0	0	1	1	0	0
dyrköpt	buy	1	1	1	1	1	1	1	0	1
förbiseende	make	0	0	0	1	0	0	1	0	0
översätter	translate	0	1	0	1	1	0	1	0	1
kartell	operate	1	1	1	1	1	1	1	0	1
tongångar	hear	0	1	0	0	1	1	1	0	0
angelägnare	need	0	1	1	0	0	1	1	0	0
största	major	0	1	0	0	1	1	1	0	1
livserfarenheter	experience	0	1	-1	0	-1	0	1	0	-1
utbildningstjänster	train	1	1	1	1	1	1	1	1	1
skadedjuren	level	0	1	1	1	1	0	1	0	1
nödbromsar	be	0	1	0	0	0	0	1	0	1
utlånaren	receive	1	1	1	0	1	1	1	0	1
fängelsehålorna	say	0	0	0	0	0	0	1	0	0
miljöområden	vary	0	0	1	0	1	0	1	0	0
resetillstånd	travel	1	1	1	0	1	0	1	0	1
vägtransportsektorn	transport	0	1	0	1	1	1	1	0	0
redarkapitalets	ship	1	0	1	1	0	1	1	0	1
slakttidpunkten	slaughter	0	-1	-1	-1	0	1	0	-1	1
erbjudits	be	0	1	0	0	0	0	1	0	1
databank	set	0	0	1	1	1	1	1	0	1
vidtog	take	1	1	1	0	1	1	1	0	1
