word;polarity
бесподобный;0.963
невнятный;0.953
отличнейший;0.935
обалденный;0.933
безумно;0.924
непонятно;0.921
неприятно;0.920
отвратный;0.920
нежный;0.916
посредственный;0.912
шикарный;0.908
нелогичный;0.906
клевый;0.898
средненький;0.895
непонятный;0.895
слабенький;0.892
неестественный;0.890
неплохо;0.888
суперский;0.886
неплохой;0.885
тупо;0.882
превосходный;0.881
неоднозначный;0.879
прикольный;0.878
необычный;0.878
красочный;0.876
бессмысленный;0.872
нереальный;0.872
неожиданный;0.872
классный;0.871
офигительный;0.869
непредсказуемый;0.869
изумительный;0.864
неудобный;0.862
безупречно;0.856
тупой;0.854
убогий;0.853
простенький;0.852
разочарованный;0.851
нелепый;0.848
несерьезный;0.847
бесполезный;0.847
безупречный;0.846
непривычный;0.846
удачный;0.846
неторопливый;0.843
жутко;0.843
однозначный;0.841
некрасивый;0.841
ненужный;0.841
потрясающий;0.837
одноразовый;0.836
шикарно;0.836
замечательный;0.836
чудесный;0.834
бесить;0.834
отвратительный;0.833
неприятный;0.830
невзрачный;0.830
плохо;0.829
нереально;0.829
восхитительный;0.827
реалистичный;0.825
невероятный;0.822
добротный;0.822
веселый;0.821
фуфло;0.820
туповатый;0.820
симпатичный;0.819
худой;0.815
фигня;0.813
маловато;0.812
отстой;0.812
продуманный;0.807
банальный;0.806
скучный;0.806
идиотский;0.806
отстойный;0.806
динамичный;0.804
добротно;0.802
нестандартный;0.799
безнадежный;0.799
неудачный;0.798
приятно;0.797
нудно;0.797
ужасно;0.796
гениальный;0.795
любимый;0.794
немаловажный;0.793
классно;0.791
логичный;0.791
круто;0.788
гармоничный;0.786
забавный;0.784
крутой;0.782
однозначно;0.781
слабоватый;0.781
смешной;0.777
продвинутый;0.776
удивительный;0.775
бесконечный;0.775
неудобно;0.774
полнейший;0.774
пошлый;0.772
идеально;0.771
нервно;0.769
жалко;0.769
блестящий;0.768
бредовый;0.767
предсказуемый;0.763
неподходящий;0.761
редко;0.761
понятный;0.759
ярко;0.759
стыдный;0.757
великолепный;0.757
кривой;0.757
плохой;0.756
недовольный;0.754
скучно;0.754
довольный;0.752
терпимый;0.751
непросто;0.751
ужасный;0.750
глубокий;0.748
безумный;0.746
примитивный;0.746
оригинальный;0.744
невозможно;0.742
раскрытый;0.741
неинтересный;0.741
напрягать;0.740
отличный;0.738
своеобразный;0.736
однообразный;0.736
незатейливый;0.735
стильный;0.735
негативный;0.735
обязательно;0.735
корявый;0.735
искренний;0.735
достойный;0.734
сплошной;0.734
ненавязчивый;0.733
порадовать;0.733
смешно;0.733
бездарный;0.733
согласный;0.732
удивительно;0.731
дурацкий;0.731
неспешный;0.730
новенький;0.729
однотипный;0.729
жуть;0.728
разочароваться;0.726
офигенный;0.725
больно;0.724
хреновый;0.723
статичный;0.723
потрясный;0.723
стандартный;0.722
неправильный;0.722
бестолковый;0.721
увлекательный;0.720
унылый;0.719
необычно;0.718
плоский;0.718
подкачать;0.715
необыкновенный;0.715
жуткий;0.715
жалеть;0.715
неповторимый;0.714
надоедать;0.714
незамысловатый;0.713
дико;0.712
приятный;0.712
переставать;0.711
незначительный;0.708
легкий;0.708
отрывать;0.707
логично;0.707
откровенный;0.706
нормально;0.706
несомненный;0.704
насыщенный;0.702
пожалеть;0.701
качественный;0.700
сильно;0.699
вменяемый;0.698
раздражать;0.697
средне;0.697
запутанный;0.696
грустно;0.695
сочный;0.694
супер;0.694
одинаковый;0.694
бесплатно;0.693
неожиданно;0.692
субъективный;0.692
несложный;0.692
незаметно;0.691
бесспорный;0.691
грустный;0.691
толковый;0.690
особенный;0.690
приличный;0.690
класный;0.688
тонкий;0.688
жалкий;0.686
глупый;0.685
неописуемый;0.685
позитивный;0.683
разочаровать;0.683
неоправданный;0.681
худший;0.681
сложный;0.680
идеальный;0.679
малость;0.679
непередаваемый;0.678
непринужденный;0.678
неудачно;0.677
простоватый;0.677
умный;0.676
милый;0.676
забавно;0.675
яркий;0.675
незаменимый;0.675
слабый;0.675
небыть;0.675
отлично;0.673
неинтересно;0.673
портить;0.670
глупо;0.669
страшно;0.667
полезный;0.666
шумный;0.664
нехороший;0.664
цеплять;0.664
настольный;0.663
безобразие;0.663
недостаточно;0.661
сюжетный;0.661
имхо;0.661
непревзойденный;0.660
непростой;0.659
нормальный;0.658
нудный;0.657
недолго;0.657
тянуть;0.656
непродуманный;0.655
отвратно;0.654
впечатлить;0.654
светлый;0.653
невыносимый;0.653
блеклый;0.652
типичный;0.651
недоделанный;0.651
удачно;0.650
равнодушный;0.650
раздражающий;0.649
весело;0.648
мутный;0.648
незаметный;0.647
дотягивать;0.647
вобще;0.644
надоесть;0.643
скучноватый;0.642
страшный;0.642
неприличный;0.642
удивленный;0.642
вялый;0.641
легко;0.641
плавный;0.641
бледный;0.638
завораживающий;0.638
невольно;0.638
грамотно;0.636
эффектный;0.636
сказочный;0.635
получше;0.634
начинающий;0.634
смазанный;0.632
мало;0.632
интересный;0.632
безобразный;0.632
честно;0.631
серый;0.629
переключать;0.629
внятный;0.628
мило;0.628
кошмарный;0.627
адекватный;0.626
отвратительно;0.626
неадекватный;0.625
нравиться;0.624
лишенный;0.623
старенький;0.623
растянутый;0.622
интуитивный;0.621
годиться;0.621
шедевральный;0.620
сравнимый;0.619
сносный;0.618
чуткий;0.618
переживать;0.617
невозможный;0.616
нехватать;0.615
перечисленный;0.615
хилый;0.615
отменный;0.613
необходимый;0.613
неимоверно;0.611
разнообразный;0.611
безликий;0.609
правдоподобный;0.609
четко;0.608
глубоко;0.608
неважно;0.607
безмерно;0.606
небольшой;0.605
интересно;0.605
специфичный;0.601
поразительный;0.601
неспешно;0.600
чумовой;0.600
пустой;0.599
шибко;0.599
редкостный;0.597
правильный;0.597
убожество;0.596
посредственно;0.594
необычайный;0.594
невообразимый;0.594
важно;0.593
мерзкий;0.591
умопомрачительный;0.590
достойно;0.590
четкий;0.588
лишний;0.587
здоровский;0.587
нечасто;0.587
излишний;0.586
вцелый;0.585
бесчисленный;0.584
печальный;0.584
красивый;0.583
тусклый;0.582
