lemma;sentiment
абсолютно бездарный;-1
абсолютно бесполезный вещь;-1
абсолютно бесшумный;1
абсолютно бредовой;-1
абсолютно довольный;1
абсолютно лишний персонаж;-1
абсолютно не зацеплять;-1
абсолютно не интересно;-1
абсолютно не оправдывать ожидание;-1
абсолютно не подходить;-1
абсолютно не стоить свой деньги;-1
абсолютно неинтересно;-1
абсолютно некомпетентный;-1
абсолютно никакой разнообразие;-1
абсолютно предсказуемый сюжет;-1
абсолютно проходной фильм;-1
абсолютно пустой книга;-1
абсолютно шаблонный;-1
абсолютный разочарование;-1
абсурдность происходить на экран;-1
авто довольный;1
авто надежный;1
авто не плохой;1
авто нравиться;1
автомобиль довольный;1
автомобиль нравиться;1
автомобиль очень довольный;1
автомобиль очень нравиться;1
автомобиль очень хороший;1
автомобиль понравиться;1
автомобиль просто супер;1
автомобиль супер;1
автомобиль удобный;1
автомобиль устраивать;1
автомобиль хороший;1
автор бросаться из крайность в крайность;-1
автор писать не уметь;-1
адекватный цена;1
актер бесподобный;1
актер браво;1
актер высоко всякий похвала;1
актер играть отвратительно;-1
актер играть ужасно;-1
актер не запоминаться;-1
актер подбирать идеально;1
актер постараться на слава;1
актер просто великолепный;1
актер просто никакой;-1
актер просто ужасный;-1
актер слабенький;-1
актерский игра великолепный;1
актерский игра отсутствовать;-1
актерский игра потрясать;1
актерский состав подбирать идеально;1
актерский состав прекрасный;1
альбом очень понравиться;1
альбом понравиться;1
альбом супер;1
аниматор просто молодец;1
аниматор просто супер;1
анимация высокий уровень;1
анимация отличный;1
анимация очень понравиться;1
анимация просто супер;1
анимация супер;1
аппарат довольный;1
аппарат отличный;1
атмосферный заведение;1
атмосферный книга;1
багажник большой;1
багажник вместительный;1
багажник маловат;-1
багажник огромный;1
багажник просторный;1
багажник удобный;1
банальный прием;-1
банк вводить в заблуждение;-1
банк всегда идти навстречу;1
банк высоко всякий похвала;1
банк нарушать закон;-1
банк нарушать;-1
банк не рекомендовать;-1
банк не советовать;-1
банк ни нога;-1
банк оставаться очень довольный;1
банк отвратительный;-1
банк очень понравиться;1
банк очень удобный;1
банк полностью довольный;1
банк работать отлично;1
барабан не разборный;-1
бас мощный;1
бас мягкий;1
бас нет совсем;-1
бас отсутствовать;-1
бас приятный;1
бас хороший;1
бассейн большой и чистый;1
бассейн большой чистый;1
бассейн не чиститься;-1
батарея быстро разряжаться;-1
батарея быстро садиться;-1
батарея держать долго;1
батарея мощный;1
батарея слабоватый;-1
бедный сюжет;-1
бежать мурашки;1
без волокита;1
без замечание;1
без искажение;1
без лишний суета;1
без нарекание;1
без проволочка;1
без рывок;1
без хрип;1
бездарно написать;-1
бездарно потратить время;-1
бездарный актерский игра;-1
бездарный кино;-1
бездарный книга;-1
бездарный образ;-1
бездарный писанина;-1
бездарный попытка;-1
бездарный режиссура;-1
бездарный сценарий;-1
бездарный творение;-1
бездарный экранизация;-1
бездушный кино;-1
безликий фильм;-1
безобразный отель;-1
безобразный отношение;-1
безопасность ноль;-1
безразличный персонал;-1
безумно вкусный еда;1
безумно вкусный кухня;1
безумно все понравиться;1
безумно довольный;1
безумно интересный;1
безумно понравиться;1
безупречный актерский игра;1
безупречный работа;1
безусловно хороший фильм;1
белоснежный полотенце;1
белье в номер не менять;-1
белье грязный;-1
бережный отношение;1
бесконечный штамп;-1
бесподобный музыка;1
бесполезный кусок;-1
бессмысленный вставка;-1
бессмысленный картинка;-1
бессмысленный трата деньги;-1
бестолковый беготня;-1
бестолковый фильм;-1
бесшумно работать;1
бесшумный работа;1
благодарность главный менеджер;1
благодарность главный специалист;1
благодарность данный сотрудник;1
благодарность директор;1
благодарность за помощь;1
благодарность заместитель;1
благодарность коллектив;1
благодарность менеджер ипотечный кредитование;1
благодарность менеджер;1
благодарность начальник;1
благодарность операционист;1
благодарность персональный менеджер;1
благодарность представитель банк;1
благодарность работник банк;1
благодарность руководитель;1
благодарность руководство;1
благодарность сотрудник банк;1
благодарность сотрудник дополнительный офис;1
благодарность сотрудник отделение банк;1
благодарность сотрудник отделение;1
благодарность сотрудник офис;1
благодарность сотрудник сбербанк;1
благодарность сотрудник;1
благодарность сотрудница банк;1
благодарность сотрудница отделение;1
благодарность сотрудница;1
благодарность специалист;1
благодарность старший менеджер;1
благодарный сотрудник банк;1
благополучно сдыхать;-1
блеклый персонаж;-1
блестяще справляться со свой роль;1
блюдо вкусный;1
блюдо изумительный;1
блюдо красиво оформлять;1
блюдо красиво подавать;1
блюдо невероятно вкусный;1
блюдо получаться вкусный;1
блюдо удаваться;1
больше не вернуться;-1
больше не включаться;-1
больше не купить продукция;-1
больше не купить;-1
больше не обращаться;-1
больше не прийти;-1
больше не работать;-1
больше не связываться;-1
больше никогда не взять;-1
больше никогда не купить продукция;-1
больше никогда не купить;-1
больше никогда туда не поехать;-1
больше ничто не купить;-1
больше такой не купить;-1
больше туда не пойти;-1
больше туда ни нога;-1
больший бред не читать;-1
большой багажник;1
большой батарея;1
большой благодарность сотрудник;1
большой ванный комната;1
большой вместительность;1
большой выбор блюдо;1
большой выбор вино;1
большой выбор вкусный пиво;1
большой выбор десерт;1
большой выбор еда;1
большой выбор мясо;1
большой выбор программа;1
большой выбор фрукт;1
большой дисплей;1
большой достоинство;1
большой книжный разочарование год;-1
большой книжный разочарование;-1
большой количество программа;1
большой минус;-1
большой молодец;1
большой недостаток;-1
большой объем память;1
большой память;1
большой панорамный окно;1
большой плюс;1
большой профессионал;1
большой разнообразие блюдо;1
большой разочарование год;-1
большой расход бензин;-1
большой ресурс;1
большой сенсорный экран;1
большой спасибо администрация;1
большой спасибо банка;1
большой спасибо за помощь;1
большой спасибо коллектив;1
большой спасибо менеджер;1
большой спасибо персонал отель;1
большой спасибо повар;1
большой спасибо ресторан;1
большой спасибо сотрудник банк;1
большой спасибо сотрудник;1
большой терраса;1
большой удовольствие;1
большой экран;1
большой яркий дисплей;1
большой яркий экран;1
бочка деготь в ложка мед;-1
бочка деготь ложка мед;-1
браво актер;1
брать душа;1
брать и не пожалеть;1
брать не пожалеть;1
брать не рекомендовать;-1
брать не советовать;-1
бред заканчиваться;-1
бред сплошной;-1
бредовый сценарий;-1
бритва не брить;-1
брить отлично;1
брить очень плохо;-1
брить чисто;1
бросать трубка;-1
быстро все приносить;1
быстро выходить из строй;-1
быстро гнить;-1
быстро забиваться сито;-1
быстро заряжаться;1
быстро набирать скорость;1
быстро надоедать;-1
быстро отвечать на вопрос;1
быстро оформлять документ;1
быстро пачкаться;-1
быстро принимать заказ;1
быстро прогреваться;1
быстро работать;1
быстро разгоняться;1
быстро разряжаться;-1
быстро реагировать на просьба;1
быстро садиться батарея;-1
быстро царапаться;-1
быстрота обслуживание;1
быстрый выход из строй;-1
быстрый зарядка;1
быстрый качественный обслуживание;1
быстрый матрица;1
быстрый нагрев вода;1
быстрый освоение функция;1
быстрый отклик;1
быстрый процессор;1
вводить в заблуждение клиент;-1
вводить в заблуждение;-1
вводить клиент в заблуждение;-1
вдвойне интересно;1
вежливо отвечать на вопрос;1
вежливый и приветливый персонал;1
вежливый квалифицированный персонал;1
вежливый компетентный сотрудник;1
вежливый обслуживание;1
вежливый отношение к клиент;1
вежливый персонал;1
вежливый приветливый персонал;1
вежливый специалист;1
везде антисанитария;-1
везде бардак;-1
везде вонь;-1
везде вонять;-1
везде грязь антисанитария;-1
везде грязь и антисанитария;-1
везде грязь;-1
везде муха;-1
везде пыль грязь;-1
везде пыль и грязь;-1
везде пятно;-1
везде разруха;-1
везде чисто;1
везде чистота;1
великий группа;1
великий исполнитель;1
великий рэпер;1
великий человек;1
великолепно справляться с роль;1
